TOK-FM;http://pl-play.adtonos.com/tok-fm
RNS;http://stream.rcs.revma.com/ypqt40u0x1zuv
357;http://stream.rcs.revma.com/ye5kghkgcm0uv
SwissJazz;http://stream.srg-ssr.ch/m/rsj/mp3_128
SwisssClassic;http://stream.srg-ssr.ch/m/rsc_de/mp3_128
ClassicFM;http://media-the.musicradio.com/ClassicFM
RMF_Classic;http://www.rmfon.pl/n/rmfclassic.pls
Dwojka;http://mp3.polskieradio.pl:8952/
RockService;http://stream.open.fm/379
101Jazz;https://ais-sa2.cdnstream1.com/b22139_128mp3
Szczecin;http://stream4.nadaje.com:11986/prs.aac.m3u
Anty-Radio;https://an.cdn.eurozet.pl/ant-waw.mp3
